BPN BARU INDAH PT;2300015470
CAHAYALESTARI TEGU;2300016440
SETORAN PEMBAYARAN INV;2300015457
CIPTA ANUGERAH REZ;2300007974
COLAMAS SUKSES MANDIRI;2300016536
CV SUMBER BARU DAMAI SEJAHTERA;2300016368
CV. Makmur Sentosa;2300018949
MAKMUR SENTOSA PER;2300016707
GDI/Prima;2300018959
HOSADA PERMAI;2300019157
O KONG JUNG;2300012978
PERMATA SURYA BAHARI PEKA;2300019068
PRESTASI MITRA DUMAI;2300019067
PT MENARA NUSANTARA PERSADA;2300016441
PT MULTI SUKSES MAKMUR PERKASA;2300009599
PT. ANUGRAH BERKAT ANDA;2300006328
PT. KURNIA MAJU PERKASA;2300016411
PT. PULAU BARU MANDIRI;2300015467
PT. PUNCAK LEMBAH HIJAU;2300011171
PT. SINAR MAYURI;2300006332
PUJI SURYA INDAH;2300006333
PULAUBARU JAYA;2300014473
SAMPURNA;2300008359
SUFO TRITAMA;2300008010
SURYA ANUGERAH SENTOSA;2300010519
TELAGA MAS CV;2300008839
UNIGEMILANGSENTOSA;2300011921
