distributor;customer_code;customer_name;fss_code;fss_name;fss_type;sales_executive;fresh_dry;rsm
DIRECT;2000133296;Indomaret Dc Sentul;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000133323;INDOMARET DC BGR 2;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000133323;INDOMARET DC BGR 2;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000133325;Indomaret Dc Ancol;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000133325;Indomaret Dc Ancol;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000133326;INDOMARET DC ANCOL JAKARTA 2;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000133326;INDOMARET DC ANCOL JAKARTA 2;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000133908;INDOMARET DC KLATEN;SOLO;Pradana Satriya Kurniawan Ramdani;COMBINED;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000133908;INDOMARET DC KLATEN;SOLO;Pradana Satriya Kurniawan Ramdani;COMBINED;No Salesman;Fresh;Muhammad Hardeo Awang
DIRECT;2000134393;MOKKO FACTORY JKT;B2B JABO 2;Ferry Silaban;B2B;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000134484;Farmers Market Citra Lake Sawangan;COMBINE JABAR 1;Hardian Pramana;COMBINED;Vacant;Fresh;Muhammad Haeruddin
DIRECT;2000136669;DJOURNAL COFFEE PACIFIC PLACE;B2B JABO 2;Ferry Silaban;B2B;Ardiansah;Fresh;Muhammad Haeruddin
DIRECT;2000138958;LAWSON DC SEMANAN;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000138958;LAWSON DC SEMANAN;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000140992;INDOMARET DC LEBAK BANTEN;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000140992;INDOMARET DC LEBAK BANTEN;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000141829;VENCHI GELATO;B2B JABO 2;Ferry Silaban;B2B;Elis Dewi Rochmani;Fresh;Muhammad Haeruddin
DIRECT;2000143391;HYPERMART DC PORONG SURABAYA;SURABAYA B2C;Nurul Hidayah;B2C;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000144744;MIE KOBER;MALANG B2B;Lalita Permatasari;B2B;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000145448;OWNER'S CAFE APARTEMEN BROOKLYN;B2B JABO 1;Maulana Yusuf;B2B;Muhamad Rizki Berhamzah;Fresh;Muhammad Haeruddin
DIRECT;2000146589;JAPFA FOOD TEBET;B2C JABO 2;Gandhi Sandrya;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000146621;JAPFA FOOD CENGKARENG;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000147155;JAPFA FOOD KELAPA GADING;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000147810;JAPFA FOOD BEKASI TOWN SQUARE;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000147811;JAPFA FOOD CIPUTAT BINTARO;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000151555;DC SAT BULKY BEREBEK;SURABAYA B2C;Nurul Hidayah;B2C;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000152589;INDOMARET DEPO GEDUNG KUNING;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000153300;INDOMARET DEPO PARUNG (LOKASI TGR);COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000153695;PT. MAKO ANUGERAH KREASINDO;B2B JABO 1;Maulana Yusuf;B2B;Reynold;Dry;Muhammad Haeruddin
DIRECT;2000153870;INDOMARET DC TERNATE;SURABAYA B2C;Nurul Hidayah;B2C;No Salesman;Fresh;Muhammad Hardeo Awang
DIRECT;2000154110;JAPFA FOOD TEBET;B2C JABO 2;Gandhi Sandrya;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000154111;JAPFA FOOD CENGKARENG;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000154112;JAPFA FOOD GADING SERPONG;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000154113;JAPFA FOOD SUNTER;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000154113;JAPFA FOOD KELAPA GADING;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000154114;JAPFA FOOD BEKASI TOWN SQUARE;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000154114;JAPFA FOOD BEKASI TOWN SQUARE;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000154115;JAPFA FOOD CIPUTAT BINTARO;B2C JABO 2;Gandhi Sandrya;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000154115;JAPFA FOOD CIPUTAT BINTARO;B2C JABO 2;Gandhi Sandrya;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000154470;KOPI LAIN HATI DC CENGKARENG;B2B JABO 1;Maulana Yusuf;B2B;Faisal Aggy;Dry;Muhammad Haeruddin
DIRECT;2000155359;JAPFA FOOD DEPOK;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000156332;SEGARI;B2C JABO 2;Gandhi Sandrya;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000156666;JAPFA FOOD HUB BOGOR;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000157360;ONE FIFTEENTH COFFEE ALAM SUTERA;B2B JABO 1;Maulana Yusuf;B2B;Muhamad Rizki Berhamzah;Fresh;Muhammad Haeruddin
DIRECT;2000157591;INDOMARET DC CIMANGGIS;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000157732;JAPFA FOOD JAKARTA TIMUR;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000157792;LAZADA WAREHOUSE;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000157793;INDOMARET CAFE LEGOK SERANG;B2B JABO 1;Maulana Yusuf;B2B;Muhamad Rizki Berhamzah;Fresh;Muhammad Haeruddin
DIRECT;2000157794;KE SINTANG COFFEE BANDARA SOETA;B2B JABO 1;Maulana Yusuf;B2B;Muhamad Rizki Berhamzah;Fresh;Muhammad Haeruddin
DIRECT;2000157816;LOTENG CAFE CIKOKOL;B2B JABO 1;Maulana Yusuf;B2B;Muhamad Rizki Berhamzah;Fresh;Muhammad Haeruddin
DIRECT;2000157817;KOPI BARRA CILEGON;B2B JABO 1;Maulana Yusuf;B2B;Muhamad Rizki Berhamzah;Fresh;Muhammad Haeruddin
DIRECT;2000158275;JAPFA FOOD JAKARTA TIMUR;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000158275;JAPFA FOOD UTAN KAYU;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000158321;GRABMART DAILY - MAIN WAREHOUSE;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000158413;INDOMARET DC LEBAK BANTEN;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000158413;INDOMARET DC LEBAK BANTEN;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000158414;Indomaret Parung, Dc;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000158414;Indomaret Parung, Dc;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000158432;ALFAMART DC BALARAJA;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000158432;ALFAMART DC BALARAJA;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000158708;GMZ( GADING MILK ZONE);B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000158741;DAGING NUSANTARA;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000158811;ALFAMART DC BALARAJA;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000158811;ALFAMART DC BALARAJA;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000158812;ALFAMART CIKOKOL;B2C JABO 2;Gandhi Sandrya;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000158813;ALFAMART JABABEKA;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000158814;ALFAMART CILENGSI 2;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000158814;ALFAMART CILENGSI 2;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000158817;DC ALFAMART KARAWANG;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000158818;DC ALFAMART BOGOR;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000158819;ALFAMART PARUNG;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000158820;ALFAMART KLATEN;SOLO;Pradana Satriya Kurniawan Ramdani;COMBINED;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000158821;ALFAMART SEMARANG;SEMARANG;Desti Yanuwanti;COMBINED;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000158822;ALFAMART SAT SERANG;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000158824;ALFAMART MALANG;MALANG B2C;Ujang Suryana;B2C;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000158824;ALFAMART MALANG;MALANG B2C;Ujang Suryana;B2C;No Salesman;Fresh;Muhammad Hardeo Awang
DIRECT;2000158825;ALFAMART BALI;BALI B2C Dry + Kupang;I Made Ogi Trisna Wardana;B2C;No Salesman;Dry;Arif Permadi
DIRECT;2000158826;ALFAMART BANDUNG 1;B2C BANDUNG 2;Dede Rukmana;B2C;Vacant;Dry;Muhammad Haeruddin
DIRECT;2000158827;ALFAMART BANDUNG 2;B2C BANDUNG 2;Dede Rukmana;B2C;Vacant;Dry;Muhammad Haeruddin
DIRECT;2000158828;ALFAMART CIANJUR;COMBINE JABAR 1;Hardian Pramana;COMBINED;Vacant;Dry;Muhammad Haeruddin
DIRECT;2000158829;ALFAMART CILACAP;YOGYAKARTA B2C;Raditya Mirza Bagaskara;B2C;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000158830;ALFAMART JEMBER;JEMBER;Ardiyan Firdaus;COMBINED;No Salesman;Dry;Yudi Setiawan
DIRECT;2000158831;ALFAMART PLUMBON;COMBINE JABAR 2;Rahmat Kamil;COMBINED;Vacant;Dry;Muhammad Haeruddin
DIRECT;2000158832;ALFAMART REMBANG;SEMARANG;Desti Yanuwanti;COMBINED;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000158833;ALFAMART SIDOARJO;SURABAYA B2C;Nurul Hidayah;B2C;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000158834;ALFAMART DEPO BALARAJA;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000158835;DC ALFAMART BULKY IMAM BONJOL;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000158849;ORGANIKA;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000158874;DC RAMAYANA PULOGADUNG;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000158928;DAGING NUSANTARA-DEPOK;COMBINE JABAR 1;Hardian Pramana;COMBINED;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000158944;DAGING NUSANTARA-DURI KOSAMBI;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000159016;SEGARI BATUCEPER;B2C JABO 2;Gandhi Sandrya;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000159016;SEGARI BATUCEPER;B2C JABO 2;Gandhi Sandrya;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000159027;DAGING NUSANTARA -CIKARANG;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000159032;JAPFA FOOD JOGLO;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000159032;JAPFA FOOD RADIO DALAM;B2C JABO 2;Gandhi Sandrya;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000159032;JAPFA FOOD JOGLO;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000159033;JAPFA FOOD RADIO DALAM;B2C JABO 2;Gandhi Sandrya;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000159115;SUPA FRESH-CAKUNG;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000159243;BLIBLI WAREHOUSE MEDAN SATRIA;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000159243;BLIBLI WAREHOUSE MEDAN SATRIA;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000159293;CHEZ CHOUX;B2B JABO 1;Maulana Yusuf;B2B;Muhamad Rizki Berhamzah;Dry;Muhammad Haeruddin
DIRECT;2000159318;SAHABAT BUAH;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000159400;STARSHOP;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000159546;CAR WASH GUE;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000159754;DAGING NUSANTARA(TEBET);B2C JABO 2;Gandhi Sandrya;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000159756;RR MART;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000159852;Family Mart Balai Pustaka;B2C JABO 1;Rahmat Supriyatna;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000160034;DAGING NUSANTARA CIKAMPEK;B2C JABO 1;Rahmat Supriyatna;B2C;Ardi Saputra;Fresh;Muhammad Haeruddin
DIRECT;2000160096;LLAO LLAO FX SUDIRMAN;B2B JABO 2;Ferry Silaban;B2B;Elis Dewi Rochmani;Fresh;Muhammad Haeruddin
DIRECT;2000160406;WINERS BACKYARD CAFE CIPUTAT;B2B JABO 2;Ferry Silaban;B2B;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000160422;Al Azhar school;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000160633;TOMORO COFFEE BENDA RAYA;close;close;B2B;Close;Fresh;Muhammad Haeruddin
DIRECT;2000160866;ALFAMART DC MADIUN;KEDIRI + MADIUN + JOMBANG;Arief Rachmat;COMBINED;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000160866;ALFAMART DC MADIUN;KEDIRI + MADIUN + JOMBANG;Arief Rachmat;COMBINED;No Salesman;Fresh;Muhammad Hardeo Awang
DIRECT;2000161029;PT. MODEREN PRIMA SARANA;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000161164;Bakeholic Bakery SCBD;B2B JABO 2;Ferry Silaban;B2B;Arfian Fahri;Fresh;Muhammad Haeruddin
DIRECT;2000161253;ALFAMIDI DC BOYOLALI;SOLO;Pradana Satriya Kurniawan Ramdani;COMBINED;No Salesman;Fresh;Muhammad Hardeo Awang
DIRECT;2000161253;ALFAMIDI DC BOYOLALI;SOLO;Pradana Satriya Kurniawan Ramdani;COMBINED;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000161884;PT. ADI SARANA ARMADA TBK;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000161901;ALFAMART TEGAL;TEGAL PEKALONGAN + PEMALANG + BATANG + PURWOKERTO;Samuel Rio Budiono;COMBINED;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000161901;ALFAMART TEGAL;TEGAL PEKALONGAN + PEMALANG + BATANG + PURWOKERTO;Samuel Rio Budiono;COMBINED;No Salesman;FRESH;Muhammad Hardeo Awang
DIRECT;2000162093;ES TEH INDONESIA HARAPAN JAYA (0799;B2B JABO 2;Ferry Silaban;B2B;Pahri Suprianto;Dry;Muhammad Haeruddin
DIRECT;2000162181;INDOMARET DC JOMBANG 2;KEDIRI + MADIUN + JOMBANG;Arief Rachmat;COMBINED;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000162181;INDOMARET DC JOMBANG 2;KEDIRI + MADIUN + JOMBANG;Arief Rachmat;COMBINED;No Salesman;Fresh;Muhammad Hardeo Awang
DIRECT;2000162356;ALONLOY COFFEE KOTA WISATA;B2B JABO 2;Ferry Silaban;B2B;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000162501;ALFAMART DC FRESH FOOD KLETEK;SURABAYA B2C;Nurul Hidayah;B2C;No Salesman;Fresh;Muhammad Hardeo Awang
DIRECT;2000162504;DEWA UNITED COFFEE SERANG;B2B JABO 1;Maulana Yusuf;B2B;Muhamad Rizki Berhamzah;Fresh;Muhammad Haeruddin
DIRECT;2000162504;DEWA UNITED COFFEE SERANG;B2B JABO 1;Maulana Yusuf;B2B;Muhamad Rizki Berhamzah;Dry;Muhammad Haeruddin
DIRECT;2000162622;HOME DELIVERY VINO PADEMANGAN;B2C JABO 4;Irwan Affandi;B2C;Ahmad Nur Pebrianto;Fresh;Muhammad Haeruddin
DIRECT;2000162662;S-MART;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000162679;CV REZEKI SEHAT SENYUM;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000162680;AREA MART;B2C JABO 4;Irwan Affandi;B2C;No Salesman;Fresh;Muhammad Haeruddin
DIRECT;2000162742;INDOMARET CAFE MH THAMRIN CIKOKOL;B2B JABO 1;Maulana Yusuf;B2B;Muhamad Rizki Berhamzah;Fresh;Muhammad Haeruddin
DIRECT;2000162784;INDOMARET CAFE TELAGA RAYA 5;B2B JABO 1;Maulana Yusuf;B2B;Tommy Toga Raja Sirait;Fresh;Muhammad Haeruddin
DIRECT;2000163157;PT. DINETA JAYA - BALI (CATERING);BALI B2B + LOMBOK;I Putu Bayu Indra Brata;COMBINED;No Salesman;Dry;Arif Permadi
DIRECT;2000163438;GOTO SOLO;SOLO;Pradana Satriya Kurniawan Ramdani;COMBINED;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000163439;GOTO SEMARANG;SEMARANG;Desti Yanuwanti;COMBINED;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000163440;GOTO SURABAYA;SURABAYA B2C;Nurul Hidayah;B2C;No Salesman;Dry;Muhammad Hardeo Awang
DIRECT;2000164431;WH ASTRO KOSAMBI PERMAI;B2C JABO 3;Vacant JABO 3;B2C;No Salesman;Dry;Muhammad Haeruddin
DIRECT;2000164486;SEGARI HALIM;B2C JABO 2;Gandhi Sandrya;B2C;No Salesman;Dry;Muhammad Haeruddin
